Jurisdiction,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
State/Territory,Solar and Battery Systems,Solar rebates for community housing (under Solar Homes Program) (VIC),Current,Not-for-profit community housing organisations (CHO) can apply for a rebate of up to $1400 per tenancy on behalf of their renters to install solar panels (PV) on the properties they manage. ,"Not-for-profit community housing organisations 
Tenants of community housing properties",rebate,"up to $1,400 or a maximum of 50 per cent of the costs of the solar panel (PV) installation per individual residential rental agreement. For example, if the net costs of the installation are $2,000, the rebate value applied is $1,000 (not $1,400).","A not-for-profit organisation that provides affordable rental housing to low-income households is eligible to receive a solar panel (PV) rebate if it:
is a Registered CHO listed on the Housing Registrar Public Register as a community housing provider; OR
is registered with the Australian Charities and Not-for-Profits Commission; and
can demonstrate that the provision of affordable housing is one of the organisation’s core activities
has properties that are owned or managed by the community housing organisation
confirms that the full value (100%) of energy savings achieved by installing solar panels will be passed onto renters
engages an authorised solar retailer who must use products on our product lists.",Aug 2018,Unsure ,"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,CHO@team.solar.vic.gov.au,https://www.solar.vic.gov.au/solar-community-housing
State/Territory,Solar and Battery Systems,Solar for Apartments (VIC),Current,"The Solar for Apartments program supports owners and residents through lower upfront costs for the installation of solar PV. 

Successful applicants will receive funding of up to $2,800 per apartment, or up to $140,000 for buildings of up to 50 apartments to install solar panels on their rooftop. 

The program is a joint initiative between the Australian and Victorian governments. 
","Apartment owners and residents in Victoria, including building managers for larger installations",rebate/grant,"$2,800 per apartment or up to $140,000 per property","Owners Corporation (OC) Eligibility:
Must consist of 3 to 50 occupiable lots (tier three or four OCs under the Owners Corporations Act 2006).
Must not have previously received funding under the Solar for Apartments Program.
Ineligible entities include individuals, government agencies, private sector businesses, educational institutions, not-for-profits, and local councils.
Building Eligibility:
Maximum 8 storeys tall from ground level.
Must be a completed development classified as:
Class 2 domestic buildings (e.g., apartments), or
Horizontally attached Class 1a buildings (e.g., townhouses).
Median residential lot value must not exceed $950,000.
No solar PV system installed in the last 10 years unless for non-connected residential lots.
Located in Victoria and not connected to an embedded electricity network.
Exclusions: retirement villages, commercial buildings, council-owned properties, or developments owned by property developers or community housing organizations.
System Eligibility:
Must supply power to 5-50 residential lots and have a payback period within 10 years.
Costs and savings must be shared equitably among residents.
Systems must:
Be installed on common property roofs.
Supply power directly to residential lots or shared areas under specific conditions.
Use products and installers authorized by Solar Victoria.
Have approval from the Distributed Network Service Provider for grid connection and export.
Ineligible Systems:
Systems installed via Power Purchase Agreements.
Systems solely providing energy to common areas.
Systems for lots with solar installed in the past 10 years.
Systems already installed before application.","opened applications on February 13, 2024","Friday 6 December 2024, or until all rebates are exhausted, whichever comes first.","Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,sfa@team.solar.vic.gov.au,https://www.solar.vic.gov.au/apartments
State/Territory,Education and Awareness Programs,Energy Assistance Program (VIC) ,Current,"The Energy Assistance Program is a free phone-based service aimed at helping Victorians struggling to pay their energy bills. 

The program provides personalised, one-on-one support to help participants apply for concessions and grants, access retailer hardship programs, compare and switch energy offers, and address billing issues. Additionally, the program offers energy-saving tips, efficiency advice, and referrals to services such as financial counseling. Tailored assistance is available for contacting energy retailers and other support services on the participant's behalf.

Delivered in partnership with Anglicare Victoria, the program empowers consumers by enhancing their understanding of their rights and options within the energy market.
","Victorian households, particularly those struggling to pay energy bills, including concession holders and those experiencing financial hardship.",Support service,N/A,"hold a Commonwealth Government Concession card; or
be struggling or expecting to struggle to pay your energy bill.",Feb 2023,Ongoing (subject to policy changes),"Anglicare Victoria, in partnership with the Victorian Government","Enhanced understanding of energy rights and available support.

Increased access to concessions, grants, and tailored assistance.

Assistance with energy-saving tips and financial counseling.",,"Anglicare Victoria

1800 531 741

speak to an energy advocate - 1800 161 215",https://www.energy.vic.gov.au/households/help-paying-your-energy-bills/energy-assistance-program
State/Territory,Solar and Battery Systems,Solar Feed-in Tariff (VIC),Historical,"In Victoria, the feed-in tariff program compensates small-scale renewable energy producers, such as households with solar PV or wind systems, for excess electricity they generate and export to the grid. The tariff rates vary by retailer, and consumers can compare these rates using the Victorian Energy Compare website.
","Victorian households and small-scale renewable energy producers, such as those with solar PV or wind systems.",Financial incentive (tariff payment for exported energy),Tariff rates vary by retailer and system size,"Must be a Victorian resident with a small-scale renewable energy system (solar PV or wind).
The system must comply with the relevant safety and performance standards.
Must be connected to the grid and capable of exporting electricity.",2009,Solar Premium feed-in tariff ended 1 Nov 2024,"Victorian Government, overseen by the Essential Services Commission.

DEECA","Encourages the adoption of renewable energy.

Supports households in reducing electricity bills and offsetting energy costs.

Contributes to Victoria's renewable energy and emissions reduction targets.",,DEECA general enquiries: 136 186,https://www.energy.vic.gov.au/households/solar-premium-feed-in-tariff
State/Territory,Heating and Cooling Upgrades,PeakSmart Air Conditioning (gov funded) (QLD),Current,"The Energex PeakSmart air conditioning rewards program provides south-east Queenslanders with incentives of up to $400 for purchasing a PeakSmart air conditioner or converting an existing one. Incentives differ depending on which category you belong to.

Energex (Opens in new window)  (South East Queensland) and Ergon Energy (Opens in new window)  (regional Queensland) are offering up to $400 cash back through the PeakSmart program if you replace your old air conditioner with a PeakSmart-compatible model.

PeakSmart air-conditioning helps reduce peak demand by dropping your air conditioner into a lower performance mode (like an economy mode) when the network is under stress, which only occurs a few times a year.

The technology is designed to be 'set and forget', so once you’ve signed up to the PeakSmart program, you won't have to do anything. 
",South-east Queenslanders and regional Queenslanders who are Energex or Ergon Energy customers.,cashback,Up to $400,"Must be a customer of Energex (South East Queensland) or Ergon Energy (regional Queensland).
Must purchase or convert an air conditioner to a PeakSmart-compatible model.
The air conditioner must meet eligibility requirements as listed on the program's website.",1 Jan 2018 (but unsure),Unsure ,"Energex and Ergon Energy, both subsidiaries of Energy Queensland.","Reduces energy demand during peak periods by placing air conditioners in ""economy mode.""
Helps stabilise the electricity grid and lowers the risk of blackouts during high-demand times.",,"Energex General Enquiries 13 12 53

Ergon Energy General Enquiries 13 74 66","https://www.qld.gov.au/housing/home-modifications-energy-savings/your-home#:~:text=Air%2Dconditioning%20rewards,t%20have%20to%20do%20anything.

https://www.energex.com.au/manage-your-energy/cashback-rewards-program/peaksmart-air-conditioning

https://www.ergon.com.au/network/manage-your-energy/cashback-rewards-program/peaksmart-air-conditioning"
State/Territory,Solar and Battery Systems,Australian battery supply chain database (QLD),Current,"Queensland launched Australia's first Battery Supply Chain Database, which provides valuable information which may be relevant for homeowners considering or already using battery storage systems. This resource can help homeowners make informed decisions about battery storage, from purchase and installation to maintenance and eventual recycling. It includes information such as, integration services and maintenance, re-use and recycling and equipment suppliers
","Battery manufacturers, supply chain stakeholders, homeowners, and businesses considering or using battery storage systems.",Informational resource and industry support.,N/A,"Open to stakeholders in the battery supply chain, including manufacturers, suppliers, and end-users of battery storage systems.",2 July 2024,Ongoing (subject to policy changes),"Queensland Government, in partnership with the Australian Government Department of Industry
Science and Resources (DISR) and a consortium of Queensland universities","Supports growth and development of Queensland’s battery supply chain.
Facilitates informed decision-making on battery storage use, maintenance, and recycling.
Enhances collaboration between stakeholders and boosts Queensland’s renewable energy sector.",,"Queensland Department of State Development and Infrastructure on (07) 3452 7100.

Ph: 13QGOV (13 74 68)
statedevelopment.qld.gov.au
info@dsdilgp.qld.gov.au","https://www.rdmw.qld.gov.au/manufacturing/strategy/australian-battery-supply-chain-database

https://gateway.icn.org.au/battery"
State/Territory,Solar and Battery Systems,Battery Booster rebate for householders (QLD),Historical,"Rebate for buying and installation a home battery energy storage system to use with new or existing rooftop solar systems. A rebate up to $3,000 is available for applicants with an income of less than $180,000 for the most recently ended financial year. If the applicant has a spouse, the combined income of the applicant and the applicant’s spouse must not have exceeded $180,000 for the most recently ended financial year. A rebate up to $4,000 is available for households where the highest income earner earned $66,667 or less for the most recently ended financial year.",Queensland homeowners looking to install or upgrade a home battery energy storage system alongside a solar PV system.,rebate,"Up to $3,000 for households earning less than $180,000 annually (combined income if married).
Up to $4,000 for households where the highest income earner earns $66,667 or less annually.","- Be the owner of the Queensland residential property where the system will be installed—whether it’s a house, community lot (e.g. townhouse or retirement village home) or granny flat. The property can be mortgaged, but you need to be the registered owner.
- Have a rooftop solar photovoltaic (PV) system with a minimum 5kW system capacity. If you don’t already have solar PV installed, you can add a new system as part of your approved battery system purchase and installation.
- Use an approved battery system from the Approved Battery System list—includes approved battery systems with a capacity of 6kWh or larger. Some systems may require multiple battery units to qualify as an approved battery system.
- Use an approved installer from the Approved Installer list to install the approved battery system—the installer must be on the Approved Installer list on the date of installation. If an approved installer provides the quote they must also be on the Approved Installer list on the date the quote is issued.  If the quote is provided by a retailer, it is recommended that the quote includes the name, address and ABN of the approved installer who will carry out the installation.
- Obtain a quote and purchase the system on or after 12 February 2024.
- Meet the income requirement—that is, have a combined taxable household income below $180,000.
- Agree to a safety inspection of the installation, to be performed by a government-appointed inspector.",Unsure,This is now closed as of 8 May 2024,"Queensland Government, Department of Energy and Climate","Promoted adoption of renewable energy storage systems.
Supported households in reducing energy costs and stabilising electricity supply.
Enhanced renewable energy adoption in Queensland homes.",,"Phone GSES: (07) 3185 5020

Email GSES: qldbattery@gsesinspections.com.au

13 QGOV (13 74 68) ",https://www.qld.gov.au/housing/home-modifications-energy-savings/battery-booster-program
State/Territory,Financial Incentives,Climate Smart Energy Savers rebate (QLD),Historical,"Supports eligible Queenslanders to replace old appliances with 4 star-rated (or higher) energy-efficient appliances and hot water systems. The amount paid depends on the energy efficient appliance chosen. Rebates range from $300-$550 for eligible new washing machines, clothes dryers and dishwashers, $350-$600 for refrigerators, $400-$650 for air conditioners and $800-$1000 for heat pump hot water systems and solar hot water systems. The higher rates are for low-income households. The last date for new purchases and installations was 4 December 2023. Applications had to be submitted within 30 days of purchasing an eligible appliance or installing an eligible air conditioner or hot water system. This means the final date to submit an application was 3 January 2024.
","Queensland residents looking to replace old appliances with energy-efficient alternatives, particularly low-income households",rebate,"$300–$550 for eligible new washing machines, clothes dryers, and dishwashers.
$350–$600 for refrigerators.
$400–$650 for air conditioners.
$800–$1,000 for heat pump hot water systems and solar hot water systems.
Higher rates applied to low-income households.","Must be a Queensland resident.
Appliances must have at least a 4-star energy rating.
Applications must be submitted within 30 days of purchasing or installing the eligible appliance/system.
Applicants must not have received other rebates for the same appliance/system.",Unsure,3 January 2024,"Queensland Government, Department of Energy and Climate","Supported households in upgrading to energy-efficient appliances.

Reduced energy bills and contributed to Queensland’s emissions reduction targets.

Provided financial relief to low-income households.",,13 QGOV (13 74 68),https://www.qld.gov.au/housing/home-modifications-energy-savings/climate-smart-energy-savers-rebate
State/Territory,Solar and Battery Systems,Solar for Rentals Trial (QLD),Historical,"This initiative aims to encourage the installation of solar panels on rental properties. It provides incentives for landlords to install solar photovoltaic (PV) systems, making renewable energy more accessible to tenants and promoting energy efficiency in the rental market. As part of the trial, rebates of up to $3,500 were offered to landlords for installing a solar system on their rental property. The solar for rentals trial ran from 5 March 2019 to 30 June 2020, encouraging landlords and tenants in Bundaberg, Gladstone and Townsville to share the value of installing solar systems. Trial outcomes During the trial, 670 solar systems were installed across the 3 local government areas, including: 166 in Bundaberg, 78 in Gladstone and 426 in Townsville. In total, 4 megawatts of solar power was installed and more than $2.25 million in rebates was paid to eligible landlords, at an average rebate payment of $3,360. Tenants participating in the trial are an average of $600 per year better off – accounting for an average rent increase of $11 per week and their electricity bill savings. The estimated average solar system payback period of out-of-pocket costs after the rebate for participating landlords is expected to be around 9 years.
","Landlords of rental properties in Bundaberg, Gladstone, and Townsville.",rebate,"Up to $3,500 rebate for landlords to install solar PV systems on rental properties.","Rental properties must be located in Bundaberg, Gladstone, or Townsville local government areas.
Landlords must install an approved solar photovoltaic (PV) system.
The property must have eligible tenants willing to participate in the program.",5 March 2019,30 June 2020,Department of Energy and Climate,"670 solar systems were installed across the three regions (166 in Bundaberg, 78 in Gladstone, and 426 in Townsville).
Generated 4 megawatts of solar power, with rebates totaling more than $2.25 million.
Tenants saved an average of $600 annually, with an estimated payback period for landlords of about 9 years.",,13 QGOV (13 74 68),https://www.energyandclimate.qld.gov.au/energy/types-of-renewables/solar-energy/solar-rentals-trial
State/Territory,Retailer Energy Efficiency Obligations,Retailer Energy Productivity Scheme (REPS) (SA),Current,"The REES initiative below has been superseded by the current Retailer Energy Productivity Scheme (REPS).

The Retailer Energy Productivity Scheme (REPS) is a South Australian government initiative that supports households and businesses to reduce their energy costs while also maximising the benefits to our power system to deliver a smarter, more affordable, reliable and sustainable energy future for all South Australians.

Starting 1 January 2021, the new REPS will support South Australia’s transition to a modern, flexible energy system and improve energy productivity for businesses and households, with a focus on low-income households.

Energy retailers will have productivity targets to meet under REPS, which can be achieved by delivering eligible energy productivity activities to homes and businesses.

New REPS activities will support energy demand management and demand response, alongside improved energy efficiency activities.


","South Australian households and businesses, with a focus on low-income households.",Support scheme (energy productivity activities delivered by energy retailers),N/A,"Must be a South Australian household or business

Activities must be provided by energy retailers or their contractors participating in the scheme

There are 31 eligible productivity activities under the REPS that retailers may choose to provide.","1 January 2021, replacing the previous Retailer Energy Efficiency Scheme (REES)",Ongoing (no specific end date announced),"South Australian Government, Department for Energy and Mining.","Improves energy productivity and reduces costs for South Australians.

Supports energy demand management and demand response.

Delivers sustainable energy savings to households and businesses.",,Department for Energy and Mining - Phone - 08 8463 3000,https://www.energymining.sa.gov.au/industry/energy-efficiency-and-productivity/retailer-energy-productivity-scheme-reps
State/Territory,Financial Incentives,Incentives for Sustainability (SA),Current,"Incentives for sustainability offer cash back for residents, businesses, and groups to make sustainable practices and technology more accessible and affordable.

These can include:
solar PV
energy storage
electric vehicle charging stations
insulation
switchboard upgrades
resource recovery and more.
","Residents, businesses and groups in Adelaide",Cashback,Varies depending on the specific initiative,"Must be a resident, business, or group located within the City of Adelaide.

Applications must meet specific program guidelines outlined for each incentive category.

Applicants must provide proof of purchase and installation to claim rebates.",Unsure,Unsure,City of Adelaide,"Encourages the adoption of sustainable practices and technologies.

Reduces carbon emissions and energy costs for participants.

Supports Adelaide’s transition to a sustainable and carbon-neutral future.",,"incentives@cityofadelaide.com.au

08 8203 7203",https://www.cityofadelaide.com.au/about-council/grants-sponsorship-incentives/incentives-for-sustainability/
State/Territory,Community Energy Projects,South Australia’s Virtual Power Plant (SA),Current,"A collaboration between the state government, Tesla, and Energy Locals, creating Australia's largest virtual power plant. Initially supported by $70 million in government and federal funding, now expanded by Tesla. Over 5,500 Housing SA homes benefit from free solar and battery installations, lower electricity prices, blackout protection, and renewable energy access. The project aims to provide affordable, reliable electricity while supporting grid stability and South Australia's renewable energy transition.
",South Australian Housing SA tenants and private homeowners.,reduced electricity prices and renewable energy benefits,"Housing SA tenants receive free solar and battery installations.

Private homeowners can access discounted solar and battery systems through the program","Housing SA tenants automatically qualify for free installations.

Private homeowners must apply through Tesla Energy or participating partners to access discounted rates.",Program started in 2018 as part of a multi-phase rollout.,Ongoing (no specific end date announced),"South Australian Government, Department for Energy and Mining.","Over 5,500 homes with installed systems contribute to Australia's largest virtual power plant.

Provides lower electricity prices, improved energy security, and blackout protection.

Supports South Australia’s transition to renewable energy and enhances grid stability.",,Department for Energy and Mining - Phone - 08 8463 3000,https://www.energymining.sa.gov.au/consumers/solar-and-batteries/south-australias-virtual-power-plant
State/Territory,Solar and Battery Systems,Home Battery Scheme (SA),Historical,"Designed to encourage the adoption of solar energy storage solutions. The program provides subsidies to eligible households for the installation of home battery systems, allowing residents to store excess solar energy generated during the day for later use. Rebate started at $6,000, reduced to $2,000. Program axed in June 2022, largely for political reasons. Relatively small, but first battery subsidy scheme in Australia. 
","South Australian homeowners, including owner-occupiers, landlords, and renters (with landlord consent).",Subsidies ,$2000 per battery system,"Must be a South Australian resident.

Battery systems must be installed by an approved provider.

Eligible households include owner-occupied properties and rental properties (with owner approval).",Unsure ,June 2022,"South Australian Government, Department for Energy and Mining","Supported over 26,000 households in adopting home battery systems.
Enabled the storage and efficient use of excess solar energy.
Marked the first battery subsidy program in Australia, encouraging renewable energy adoption.",,"Visit SA.GOV.AU
Call the Energy Advisory Service:(external site)
Phone 8204 1888 or 1800 671 907 (free call from fixed lines)",https://www.energymining.sa.gov.au/consumers/solar-and-batteries/hbs-closed
State/Territory,Solar and Battery Systems,Switch for Solar (SA),Historical,"A pilot program to encourage 1,000 concession holders offered a free solar system in exchange for forgoing their South Australian government energy concessions. Switch for Solar makes it easier for concession holders to access solar energy, by allowing eligible households to ‘switch’ some of their future concession payments in return for a 4.4kW solar PV system installed on their home at little to no upfront cost. Cut in 2022 by the new Government. Significant is no upfront cost to low-income earners.
",South Australian concession holders,Solar system installation (in exchange for concession payments),N/A,"Must be a concession holder eligible for South Australian government energy concessions.
Required to forego a portion of future concession payments in exchange for the solar installation.",17 May 2021,2022,"South Australian Government, Department for Energy and Mining","Made solar energy more accessible to concession holders.
Supported 1,000 households with free solar systems.
Aimed to reduce energy costs for low-income earners through solar energy adoption.",,Department for Energy and Mining - Phone - 08 8463 3000,https://www.energymining.sa.gov.au/home/news/archive/articles/2021/concession_holders_to_be_given_free_solar_systems
State/Territory,Education and Awareness Programs,Energy Ahead (WA),Current,"The Energy Ahead program, offered by the Financial Wellbeing Collective in partnership with Synergy, is a free initiative designed to assist Synergy residential customers in Western Australia who are experiencing financial hardship. The program aims to empower participants to manage their energy consumption effectively and reduce electricity bills through personalised coaching, in-home audits, and community workshops.
",Residential customers in Western Australia who are experiencing financial hardship,Free support program focused on energy education and consumption management,N/A,"Participants must be Synergy customers residing in Western Australia.

Must demonstrate financial hardship or difficulty managing electricity bills.",Unsure,Unsure ,Financial Wellbeing Collective in partnership with Synergy,"Reduces electricity bills by helping participants manage energy use effectively.

Builds awareness and provides tools for financial resilience.

Encourages sustainable energy use through education and practical support.",,"(08) 6253 3500
 energyahead@thefwc.org.au",https://thefwc.org.au/energyahead/
State/Territory,Solar and Battery Systems,Distributed Energy Buyback Scheme (WA),Current,"This was formerly the Household Energy Efficiency Scheme.

Enables eligible customers to receive payments for electricity they export to the grid from sources such as rooftop solar photovoltaic (PV) systems, batteries, and electric vehicles. These schemes are part of the state's efforts to encourage renewable energy adoption and ensure a sustainable energy future.
",Western Australian households and small businesses with renewable energy systems,Financial incentive (payments for exported electricity),Payments are made for electricity exported to the grid; the rate depends on the time of export and current buyback rates set by the scheme,"The Western Australian Government established the requirement for retailers to offer a buyback scheme through the Electricity Industry (Licensing Conditions) 2005
These regulations define an eligible customer as:

a residential customer who consumes not more than 50MWh of electricity per annum; or
a customer that is a school, university or other educational institution; or
a customer that is a non-profit-making organisation.
For a renewable energy system to be eligible for DEBS, it must have a generating capacity of between 500W and 5kW. A 6.6kW solar PV system with 5kVa inverter is accepted as having a generating capacity of 5kW.

There is no eligibility limit on home battery or electric vehicle battery size, but retailers are only obligated to offer buyback payment for 50 units (kWh) per day per premises (which is more than a 5kW solar PV system would be expected to generate on any given day).",8 September 2020,Ongoing (subject to policy changes),"Energy Policy WA a group within the WA Department of Energy, Mines, Industry Regulation and Safety","Encourages the adoption of renewable energy systems.

Supports grid stability and the state’s transition to a sustainable energy future.

Provides financial benefits for customers exporting surplus electricity.",,"Telephone:
(08) 6551 4600

Email:
EPWA-info@demirs.wa.gov.au",https://www.wa.gov.au/organisation/energy-policy-wa/energy-buyback-schemes
State/Territory,Financial Incentives,Energy Saver Loan Scheme (TAS),Current,"The Energy Saver Loan Scheme provides no-interest loans to eligible applicants to fund the purchase price and installation of energy efficient products. Energy Saver Loans are interest-free, have no establishment fee, and no account-keeping fee - although fees for late repayments do apply. Loans may be issued for amounts between $500 and $10,000. Loans may be issued for terms of one (1) to three (3) years. 
","Tasmanian households, businesses, and landlords",Loan,"Finance amount: $500 - $10,000","Eligible applicants are:

Tasmanians for their principal place of residence
landlords with residential tenants
small businesses and community organisations (with an electricity consumption lower than 150MWh per year).
This means that Energy Saver Loans must be used to purchase and install eligible energy efficient products in Tasmanian properties. These properties are:

principal places of residence
tenanted residential properties (for example, a property in which you have residential tenants)
small business, commercial, or community organisation properties (for example, a property that is used for the predominant purpose of a small business*).
*These properties may include properties used for holiday accommodation if the use is part of a small business.
Loans are capped at $10,000 per property.

No single applicant may be loaned more than $10,000 in total (but accessing the scheme for your primary residence won’t prevent your small business from getting a loan for its own premises).

Loans will only be made available to applicants that have the financial capacity to repay them over the term of the loan.

There are no income, house value or asset tests. It's open to all Tasmanians that want to invest in energy efficiency, so long as they can service the loan.
",17 October 2022,Unsure ,"The scheme is a partnership between the Tasmanian Government and Brighte, a finance and administration provider. ","Encourages adoption of energy-efficient and renewable energy technologies.

Reduces energy bills and supports Tasmania’s goal of achieving net-zero emissions.

Offers accessible funding to low-income households for energy-saving improvements.

",,"Brighte contact: 
Customer support - 1300-274-448
Vendor success - 1300-309-100",https://www.recfit.tas.gov.au/grants_programs/energy_saver_loan_scheme
State/Territory,Low-Income and Social Housing Initiatives,Homes Tasmania Energy Efficiency Program (TAS),Current,"The Homes Tasmania Energy Efficiency Program will deliver energy upgrades including heat pump hot water systems, insulation, draught proofing, LED lights, and window glazing. Around 11 per cent of the state’s social housing properties will receive some kind of upgrade under the program. 
",Social housing tenants in Tasmania,Energy efficiency upgrades for social housing,N/A,"Social housing properties managed under the Homes Tasmania program.
Upgrades are distributed to properties identified as needing improvements.",Unsure,Unsure ,Homes Tasmania in collaboration with the Tasmanian and Federal Governments,"Covers energy efficiency upgrades for approximately 11% of Tasmania’s social housing stock.

Aims to reduce energy costs and improve living conditions for low-income residents.

Supports Tasmania’s energy efficiency and emissions reduction targets.",,Businessops@homes.tas.gov.au,https://minister.dcceew.gov.au/bowen/media-releases/joint-media-release-energy-upgrades-ease-cost-living-tasmanias-social-housing-residents
State/Territory,Financial Incentives,Wood Heater Removal Program (ACT),Current,"This program aims to improve air quality and reduce greenhouse gas emissions in Canberra by offering financial incentives to homeowners to remove wood heaters. Eligible homeowners in the ACT can receive a $500 rebate, while concession cardholders may qualify for a $1,250 rebate. It replaces the former Wood Heater Replacement Program and focuses solely on heater removal.
",Homeowners and landlords in the ACT,Rebate,"$500 rebate for general applicants.
$1,250 rebate for concession cardholders","You can apply for either rebate under the Wood Heater Removal Program if:

you're an ACT ratepayer
your property is residential.
You can also apply if you are the owner of a rental property. Both you and your tenant must sign the application form.

You can apply for the $1250 rebate, If you hold an eligible concession card including:

Australian Government Pensioner Concession Card
Department of Veterans’ Affairs Gold Card
Australian Government Health Care Card
Only one rebate is available per property.",Unsure,Unsure ,ACT Government - Climate Choices Program,"Aims to improve air quality and reduce greenhouse gas emissions in Canberra.

Replaces the former Wood Heater Replacement Program, focusing solely on heater removal.
",,Unsure,https://www.climatechoices.act.gov.au/policy-programs/wood-heater-removal-program
State/Territory,Education and Awareness Programs,Sustainable Home Advice Program (ACT),Current,"This program provides those living in ACT with tailored advice and resources to help make their homes more energy-efficient and sustainable. It offers free home energy assessments, a hotline for energy-efficiency tips, workshops, and online tools to support residents in understanding and reducing their energy use.
",,Educational,N/A,The Sustainable Home Advice Program is available to all ACT residents.,Unsure,Unsure ,ACT Government - Climate Choices Program.,"Offers free home energy assessments, a hotline for energy tips, workshops, and online tools.

Promotes long-term energy savings and environmental benefits for ACT households.

Helps residents make their homes more energy-efficient and sustainable.",,"Email: SustainableHomeAdviceProgram@act.gov.au
Phone: 1300 141 777 ",https://www.climatechoices.act.gov.au/policy-programs/sustainable-home-advice-program
State/Territory,Solar and Battery Systems,Solar for Apartments Program (ACT),Current,"This program provides financial assistance to owners corporations (body corporates) of eligible apartment complexes in the ACT to install solar systems. It offers up to $100,000 in funding, split equally between a grant and a zero-interest loan, to reduce energy costs for all residents, including renters. The initiative is co-funded by the Commonwealth Government’s Solar Banks Initiative and the ACT Government’s Sustainable Household Scheme.",Owners corporations (body corporates) managing eligible apartment complexes in the ACT,grant and loans,depends on system,"Owners corporations, also known as body corporates, that manage an eligible apartment complex within the ACT, can apply for the Program.

To be eligible, the average unimproved value of a unit for the premise must be $300,000 or less in any year from 2022.

The premises must also:

be an apartment complex style structure with a Class A unit plan as defined in the Unit Titles Act 2001
be a completed development at the time of application
not already have or have had rooftop solar in place.
All residents of the premise must benefit from the solar installation.

The owners corporation will also need to satisfy the requirements set by the loan provider (Brighte), that they will be able to repay the loan component.",23 November 2023,Unsure ,ACT Government in collaboration with the Commonwealth Government’s Solar Banks Initiative and Sustainable Household Scheme.,"Reduces energy costs for apartment residents, including renters.

Promotes adoption of solar energy in the ACT's apartment complexes.

Contributes to ACT's renewable energy goals.",,Unsure,https://www.climatechoices.act.gov.au/policy-programs/solar-for-apartments-program
State/Territory,Energy Audits and Ratings,Renters' Home Energy Program (ACT),Current,"This program offers renters in the ACT a free home energy assessment to help them improve energy efficiency and reduce costs. Participants receive expert advice on making smart energy choices to create a more comfortable and sustainable home, with consultations available online, in person, or over the phone.",Renters living in residential properties in the ACT,Free home energy assessments and expert advice,N/A,"The program is for anyone living in a rented home in the ACT.

If you own your home in Canberra, you can use the online tool or contact the Sustainable Home Advice Program and ask for a free home energy assessment for homeowners.


",Unsure,Unsure ,"ACT Government - Climate Choices Program
","Helps renters make informed decisions about energy efficiency improvements.

Encourages sustainable energy use and reduces household energy costs.",,"Calling the ACT Sustainable Home Advice Line: 1300 141 777
Email: SustainableHomeAdviceProgram@act.gov.au",https://www.climatechoices.act.gov.au/policy-programs/renters-home-energy-program
State/Territory,Financial Incentives,Sustainable Household Scheme (ACT),Current,"This scheme offers zero-interest loans from $2,000 to $15,000 to help ACT residents finance energy-efficient upgrades. Eligible products include rooftop solar panels, battery storage systems, electric heating and cooling systems, hot water pumps, electric vehicles and chargers, and ceiling insulation. Loans can be repaid over up to 10 years, with the option to bundle multiple products up to the loan limit.",Households and community groups,Loans,"Loans ranging from $2,000 to $15,000, repayable over up to 10 years.

Concession cardholders may combine a loan with up to $5,000 in rebates through the Home Energy Support Program.","Households: ACT residents who either own a home or hold a current driver's licence (for electric vehicle loans). Applicants must meet scheme and lending criteria, including attending a free one-hour workshop (online or in-person). Concession card holders may also apply for up to $5,000 in rebates through the Home Energy Support Program, which can be combined with a zero-interest loan of up to $10,000.

Community Groups: Eligible groups can access loans ranging from $2,000 to $15,000 for energy-efficient upgrades. Groups must meet eligibility and lending criteria, including attending a workshop or participating in the Business Energy and Water Program.
For full details, refer to the scheme guidelines and FAQs.",1 July 2021,Unsure ,"ACT Government - Climate Choices Program, in partnership with Brighte
","Supports energy efficiency, renewable energy adoption, and reduced energy costs for ACT residents.

Encourages households and groups to invest in sustainable technologies.",,"Email SHS@act.gov.au
Phone 13 22 81",https://www.climatechoices.act.gov.au/policy-programs/sustainable-household-scheme
